============================================================
ПРОФИЛИРОВКА МОДЕЛИ: cnn
============================================================

СТАТИСТИКА ПО CPU
------------------------------------------------------------
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                forward         0.00%       0.000us         0.00%       0.000us       0.000us        4.245s        96.37%        4.245s      42.454ms           0 B           0 B           0 B           0 B           100  
                                                forward         1.12%     195.416ms         3.25%     567.981ms       5.680ms       0.000us         0.00%        4.239s      42.393ms           0 B           0 B       2.00 KB    -217.90 GB           100  
                                           aten::conv2d         0.05%       8.952ms         0.75%     131.317ms     437.724us       0.000us         0.00%        2.363s       7.877ms           0 B           0 B      66.99 GB           0 B           300  
                                      aten::convolution         0.04%       6.826ms         0.70%     122.365ms     407.884us       0.000us         0.00%        2.363s       7.877ms           0 B           0 B      66.99 GB           0 B           300  
                                     aten::_convolution         0.11%      19.074ms         0.66%     115.539ms     385.131us       0.000us         0.00%        2.363s       7.877ms           0 B           0 B      66.99 GB           0 B           300  
                                aten::cudnn_convolution         0.26%      45.800ms         0.40%      69.550ms     231.832us        1.760s        39.95%        1.760s       5.867ms           0 B           0 B      66.99 GB      66.99 GB           300  
                                  volta_sgemm_128x64_nn         0.00%       0.000us         0.00%       0.000us       0.000us     818.023ms        18.57%     818.023ms       4.090ms           0 B           0 B           0 B           0 B           200  
                                       aten::batch_norm         0.04%       6.276ms         0.47%      81.312ms     271.041us       0.000us         0.00%     663.261ms       2.211ms           0 B           0 B      66.99 GB           0 B           300  
                           aten::_batch_norm_impl_index         0.04%       6.532ms         0.43%      75.036ms     250.120us       0.000us         0.00%     663.261ms       2.211ms           0 B           0 B      66.99 GB           0 B           300  
                                 aten::cudnn_batch_norm         0.21%      36.118ms         0.39%      68.504ms     228.345us     663.261ms        15.06%     663.261ms       2.211ms           0 B           0 B      66.99 GB           0 B           300  
void cudnn::bn_fw_inf_1C11_kernel_NCHW<float, float,...         0.00%       0.000us         0.00%       0.000us       0.000us     663.261ms        15.06%     663.261ms       2.211ms           0 B           0 B           0 B           0 B           300  
                                             aten::relu         0.05%       8.423ms         0.24%      41.414ms     103.535us       0.000us         0.00%     604.035ms       1.510ms           0 B           0 B      67.00 GB           0 B           400  
                                        aten::clamp_min         0.10%      17.856ms         0.19%      32.991ms      82.478us     604.035ms        13.71%     604.035ms       1.510ms           0 B           0 B      67.00 GB      67.00 GB           400  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     604.035ms        13.71%     604.035ms       1.510ms           0 B           0 B           0 B           0 B           400  
                                             aten::add_         0.08%      14.052ms         0.10%      18.320ms      61.067us     603.164ms        13.69%     603.164ms       2.011ms           0 B           0 B           0 B           0 B           300  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     603.164ms        13.69%     603.164ms       2.011ms           0 B           0 B           0 B           0 B           300  
                                       aten::max_pool2d         0.06%       9.616ms         0.19%      33.638ms     112.127us       0.000us         0.00%     553.081ms       1.844ms           0 B           0 B      16.75 GB     -33.50 GB           300  
                          aten::max_pool2d_with_indices         0.08%      13.861ms         0.14%      24.022ms      80.075us     553.081ms        12.55%     553.081ms       1.844ms           0 B           0 B      50.24 GB      50.24 GB           300  
void at::native::(anonymous namespace)::max_pool_for...         0.00%       0.000us         0.00%       0.000us       0.000us     553.081ms        12.55%     553.081ms       1.844ms           0 B           0 B           0 B           0 B           300  
void cudnn::winograd_nonfused::winogradForwardOutput...         0.00%       0.000us         0.00%       0.000us       0.000us     424.949ms         9.65%     424.949ms       2.125ms           0 B           0 B           0 B           0 B           200  
void cudnn::winograd_nonfused::winogradForwardData4x...         0.00%       0.000us         0.00%       0.000us       0.000us     263.559ms         5.98%     263.559ms       1.318ms           0 B           0 B           0 B           0 B           200  
